INFO:root:2022-04-02 11:49:58.954077 - Amostra 161 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:00.980366 - Amostra 162 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:03.008038 - Amostra 163 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:05.035590 - Amostra 164 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:07.063138 - Amostra 165 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:09.091363 - Amostra 166 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:11.118740 - Amostra 167 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:13.146284 - Amostra 168 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:15.171943 - Amostra 169 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:17.199044 - Amostra 170 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:19.226361 - Amostra 171 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:21.254191 - Amostra 172 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:23.281935 - Amostra 173 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:25.309863 - Amostra 174 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:27.337905 - Amostra 175 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:29.366272 - Amostra 176 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:31.394101 - Amostra 177 | Leitura: 30788 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:33.421583 - Amostra 178 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:35.448168 - Amostra 179 | Leitura: 30748 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:50:37.474751 - Amostra 180 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:39.501284 - Amostra 181 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:41.528403 - Amostra 182 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:43.555715 - Amostra 183 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:45.582930 - Amostra 184 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:47.610346 - Amostra 185 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:49.636614 - Amostra 186 | Leitura: 30748 | Tensão 3.8461173741874446
